Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimaCotacao,ultimoDividendo
ABCP11,Shoppings,76.00,8.93%,8.61%,0.83,927491000,109864,1,13006.30,1328.65,10.22%,14.43%,76,0.55
AFHI11,Títulos e Val. Mob.,98.41,7.85%,14.85%,1.04,243726000,676546,0,0.00,0.00,0.00%,0.00%,98.41,1.3
AFOF11,Títulos e Val. Mob.,91.60,10.25%,12.20%,0.93,63313200,132323,0,0.00,0.00,0.00%,0.00%,91.6,1.06
AGRX11,Híbrido,10.32,2.34%,1.24%,0.71,34703300,29341,0,0.00,0.00,0.00%,0.00%,10.32,0.13
AIEC11,Lajes Corporativas,79.40,10.50%,10.88%,0.78,383104000,527663,2,16492.70,1990.31,12.07%,0.00%,79.4,0.73
ALMI11,Lajes Corporativas,900.00,0.64%,0.00%,0.40,100059000,41832,1,2227.01,145.68,6.54%,58.92%,900,0.37
ALZR11,Híbrido,119.12,6.60%,6.65%,1.13,751743000,1588180,13,5727.59,413.31,7.22%,0.00%,119.12,0.78
APTO11,Híbrido,9.03,6.93%,10.54%,0.90,36236100,108182,5,13493.50,442.40,3.28%,0.00%,9.03,0.11
ARCT11,Híbrido,100.81,10.64%,17.07%,1.01,373820000,1508940,9,383.70,21.81,5.68%,0.00%,100.81,1.02
ARRI11,Títulos e Val. Mob.,8.93,147.05%,17.55%,0.10,10521900,323919,0,0.00,0.00,0.00%,0.00%,8.93,0.11
ATSA11,Shoppings,84.98,0.49%,0.06%,0.94,148812000,895,1,4398.31,46.43,1.06%,21.57%,84.98,0.05
BARI11,Títulos e Val. Mob.,97.20,14.54%,15.08%,0.95,450443000,1047560,1,0.00,0.00,0.00%,0.00%,97.2,1.05
BBFI11B,Lajes Corporativas,1960.00,17.54%,16.43%,0.68,254800000,323762,3,2807.88,550.13,19.59%,0.00%,1960,26.31
BBFO11,Títulos e Val. Mob.,78.20,13.90%,11.35%,0.94,313105000,203072,0,0.00,0.00,0.00%,0.00%,78.2,0.76
BBGO11,Títulos e Val. Mob.,89.35,5.33%,3.92%,0.91,357861000,275335,0,0.00,0.00,0.00%,0.00%,89.35,0.75
BBPO11,Lajes Corporativas,90.97,11.66%,11.57%,0.91,1448210000,1425940,63,3703.60,494.26,13.35%,0.00%,90.97,0.92
BBRC11,Outros,103.40,10.80%,10.79%,0.97,164406000,91005,20,10219.30,1444.03,14.13%,0.00%,103.4,0.99
