Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimoDividendo
ABCP11,Shoppings,76.0,0.0892999999999999,0.0861,0.83,927491000,109864,1.0,13006.3,13.2865,0.1022,0.1442999999999999,0.55
AFHI11,Títulos e Val. Mob.,98.41,0.0785,0.1485,1.04,243726000,676546,0.0,0.0,0.0,0.0,0.0,1.3
AFOF11,Títulos e Val. Mob.,91.60000000000001,0.1025,0.122,0.93,63313200,132323,0.0,0.0,0.0,0.0,0.0,1.06
AGRX11,Híbrido,10.32,0.0233999999999999,0.0124,0.71,34703300,29341,0.0,0.0,0.0,0.0,0.0,0.13
AIEC11,Lajes Corporativas,79.4,0.105,0.1088,0.78,383104000,527663,2.0,16492.7,19.9031,0.1207,0.0,0.73
ALMI11,Lajes Corporativas,900.0,0.0064,0.0,0.4,100059000,41832,1.0,2227.01,1.4568,0.0654,0.5892000000000001,0.37
ALZR11,Híbrido,119.12,0.066,0.0665,1.13,751743000,1588180,13.0,5727.59,4.1331,0.0722,0.0,0.78
APTO11,Híbrido,9.029999999999989,0.0693,0.1054,0.9,36236100,108182,5.0,13493.5,4.424,0.0327999999999999,0.0,0.11
ARCT11,Híbrido,100.81,0.1064,0.1707,1.01,373820000,1508940,9.0,383.7,0.2181,0.0567999999999999,0.0,1.02
ARRI11,Títulos e Val. Mob.,8.929999999999989,1.4705,0.1755,0.1,10521900,323919,0.0,0.0,0.0,0.0,0.0,0.11
ATSA11,Shoppings,84.98,0.0049,0.0006,0.94,148812000,895,1.0,4398.31,0.4643,0.0106,0.2157,0.05
BARI11,Títulos e Val. Mob.,97.2,0.1454,0.1508,0.95,450443000,1047560,1.0,0.0,0.0,0.0,0.0,1.05
BBFI11B,Lajes Corporativas,1960.0000000000002,0.1754,0.1643,0.68,254800000,323762,3.0,2807.88,5.5013,0.1959,0.0,26.31
BBFO11,Títulos e Val. Mob.,78.2,0.139,0.1134999999999999,0.94,313105000,203072,0.0,0.0,0.0,0.0,0.0,0.76
BBGO11,Títulos e Val. Mob.,89.35,0.0533,0.0392,0.91,357861000,275335,0.0,0.0,0.0,0.0,0.0,0.75
BBPO11,Lajes Corporativas,90.97,0.1166,0.1157,0.91,1448210000,1425940,63.0,3703.6,4.9426,0.1335,0.0,0.92
BBRC11,Outros,103.4,0.108,0.1079,0.97,164406000,91005,20.0,10219.3,14.4403,0.1413,0.0,0.99
BCFF11,Títulos e Val. Mob.,71.69,0.0936999999999999,0.0894,0.93,1805610000,2785900,0.0,0.0,0.0,0.0,0.0,0.56
BCIA11,Títulos e Val. Mob.,90.2,0.1066,0.0905,0.88,335457000,338185,0.0,0.0,0.0,0.0,0.0,0.74
BCRI11,Títulos e Val. Mob.,104.29000000000002,0.1211,0.1458,0.98,652634000,975530,0.0,0.0,0.0,0.0,0.0,1.29
BICR11,Títulos e Val. Mob.,102.88999999999999,0.0864,0.078,1.02,51445000,1403,0.0,0.0,0.0,0.0,0.0,0.82
BIME11,Híbrido,9.28,0.0759,0.0908,1.01,54247200,164156,2.0,1504.17,0.0,0.0,0.0,0.13
BLCA11,Lajes Corporativas,90.0,0.0336,0.0341,1.02,144000000,1173,1.0,45433.3,14.4626,0.0318,0.0,0.56
BLCP11,Logística,88.97,0.0553,0.0616,0.8,204300000,200164,2.0,2944.21,1.9989,0.0679,0.0,0.52
BLMC11,Títulos e Val. Mob.,85.99,0.1236999999999999,0.1516,0.88,34353000,30093,0.0,0.0,0.0,0.0,0.0,1.17
BLMG11,Outros,83.78,0.0933,0.1182,0.92,319251000,479042,2.0,788.58,0.5965,0.0756,0.0,0.8
BLMO11,Lajes Corporativas,23998.0,-0.0007,0.0065,0.82,91120400,24090,1.0,14150.8,3.0646,0.0217,0.0,37.45
BLMR11,Títulos e Val. Mob.,7.919999999999989,0.1267,0.1097,1.0,202290000,506822,0.0,0.0,0.0,0.0,0.0,0.08
BLUR11,Títulos e Val. Mob.,102.49999999999999,0.0219,0.0596999999999999,0.99,9225000,17336,0.0,0.0,0.0,0.0,0.0,1.03
BMLC11,Híbrido,100.0,0.0815,0.0827,0.92,99840500,93614,2.0,14086200.0,12709.9057,0.0902,0.0,0.72
BNFS11,Outros,123.97,0.1211,0.1268,1.25,86779000,111102,18.0,8004.33,11.8491,0.148,0.0,1.48
BPFF11,Outros,69.5,0.1229,0.1106,0.92,312217000,534787,0.0,0.0,0.0,0.0,0.0,0.7
BPML11,Shoppings,62.67,0.0475,0.0435,0.5,269799000,67466,4.0,3400800.0,5950.8246,0.175,0.0594,0.15
BPRP11,Outros,99.00999999999999,0.1013,0.1027999999999999,0.91,133647000,304,1.0,5790.28,6.104299999999999,0.1054,0.0,0.86
BRCO11,Logística,110.4,0.0693,0.0689,0.93,1631580000,3259040,11.0,3633.53,2.9705,0.0818,0.0,0.7
BRCR11,Híbrido,67.06,0.0878999999999999,0.0858,0.66,1786360000,2466910,9.0,11706.7,11.5078,0.0983,0.1272,0.47
BREV11,Híbrido,106.15,0.0591,0.0626999999999999,0.97,102668000,128718,14.0,17415.0,12.5724,0.0722,0.0,0.61
BRIM11,Residencial,1030.2199999999998,0.0684999999999999,0.1722,1.04,127888000,93,4.0,9071.0,0.0,0.0,0.0,27.0
BRLA11,Outros,145.87,0.0548,0.0843,0.92,333254000,40709,6.0,1093.95,0.6031,0.0550999999999999,0.0,1.09
BTAL11,Outros,101.47,0.0733999999999999,0.0953999999999999,0.95,607068000,1010440,9.0,1667.26,1.4925,0.0895,0.0,0.83
BTCR11,Títulos e Val. Mob.,96.09,0.1045,0.1295,1.01,462202000,919888,0.0,0.0,0.0,0.0,0.0,0.95
BTLG11,Híbrido,103.91,0.0379,0.083,1.06,1738310000,4744600,9.0,4646.23,2.1479,0.0462,0.0625,0.74
BTRA11,Outros,88.0,0.1081,0.1143,0.85,296081000,600761,6.0,4.36,0.0043,0.0998,0.0,0.7
BTWR11,Lajes Corporativas,105.49,0.0418,0.0408,0.95,85369900,3057,1.0,4200.49,1.8719,0.0446,0.0,0.38
CACR11,Híbrido,99.72999999999999,0.1181,0.1621,0.97,180255000,307575,0.0,0.0,0.0,0.0,0.0,1.54
CARE11,Híbrido,3.91,-0.0212,0.0021,0.48,139860000,55349,2.0,5463.02,0.1016,0.0019,0.9999,0.0
CBOP11,Lajes Corporativas,60.49,0.1473,0.1382,0.79,85593400,53121,1.0,4979.89,4.1092,0.0825,0.4732,0.49
CCRF11,Títulos e Val. Mob.,97.69,0.0683,0.1329,1.0,153559000,10955,0.0,0.0,0.0,0.0,0.0,1.1
CEOC11,Lajes Corporativas,60.23,0.0947,0.0946,0.67,109359000,61194,1.0,8232.25,9.3,0.113,0.0,0.5
CNES11,Lajes Corporativas,33.489999999999995,0.0397,0.038,0.38,98770300,12465,1.0,1411.77,1.7176,0.1217,0.546,0.1
CORM11,Híbrido,81.0,0.1359,0.1338,0.91,82402600,1950,3.0,7566.86,7.0647,0.0934,0.0,0.77
CPFF11,Títulos e Val. Mob.,73.6,0.0472,0.0982,0.96,401104000,772759,0.0,0.0,0.0,0.0,0.0,0.62
CPTR11,Títulos e Val. Mob.,106.25,0.027,0.0481,1.06,110104000,136405,0.0,0.0,0.0,0.0,0.0,1.75
