<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	10:00:00	113166	113166	113160	113160	12	28320	0
2022.11.16	10:01:00	113162	113162	113157	113157	90	374808	0
2022.11.16	10:02:00	113157	113161	113157	113161	942	5377795	0
2022.11.16	10:03:00	113167	113167	113164	113164	1284	8265066	0
2022.11.16	10:04:00	113174	113383	113174	113383	19938	457647100	0
2022.11.16	10:05:00	113359	113418	113359	113418	10890	188032920	0
2022.11.16	10:06:00	113473	113473	113463	113463	11856	202216300	0
2022.11.16	10:07:00	113438	113451	113438	113451	13482	189114210	0
2022.11.16	10:08:00	113420	113444	113420	113444	9552	116973140	0
2022.11.16	10:09:00	113414	113414	113350	113350	68399	1525622680	0
2022.11.16	10:10:00	113264	113264	113134	113134	63934	1027818100	0
2022.11.16	10:11:00	113092	113092	112975	112975	43223	606079700	0
2022.11.16	10:12:00	112799	112890	112799	112890	37181	428361600	0
2022.11.16	10:13:00	112929	112940	112929	112940	36869	505995800	0
2022.11.16	10:14:00	112922	112922	112899	112899	37139	487779400	0
2022.11.16	10:15:00	112918	112918	112867	112867	30150	399350400	0
2022.11.16	10:16:00	112826	112826	112789	112789	27161	368657800	0
2022.11.16	10:17:00	112663	112675	112663	112675	33964	493790800	0
2022.11.16	10:18:00	112789	112789	112704	112704	32604	356053100	0
2022.11.16	10:19:00	112688	112688	112550	112550	30533	347033700	0
2022.11.16	10:20:00	112571	112642	112571	112642	36478	395360900	0
2022.11.16	10:21:00	112669	112854	112669	112854	37755	432615400	0
2022.11.16	10:22:00	112761	112941	112761	112941	33228	342479300	0
2022.11.16	10:23:00	112908	112908	112886	112886	24468	244997830	0
2022.11.16	10:24:00	112997	112997	112986	112986	28079	380184800	0
2022.11.16	10:25:00	112930	112934	112930	112934	28086	405819500	0
2022.11.16	10:26:00	112901	112917	112901	112917	27510	410434000	0
2022.11.16	10:27:00	112911	112917	112911	112917	27852	328837400	0
2022.11.16	10:28:00	112809	112809	112770	112770	27720	354276960	0
2022.11.16	10:29:00	112702	112718	112702	112718	32614	311278400	0
2022.11.16	10:30:00	112851	112851	112653	112653	46734	537243800	0
2022.11.16	10:31:00	112735	112735	112689	112689	19908	261589700	0
2022.11.16	10:32:00	112698	112916	112698	112916	32100	358145060	0
2022.11.16	10:33:00	112928	112928	112895	112895	28662	279777900	0
2022.11.16	10:34:00	112744	112744	112691	112691	27758	267734700	0
2022.11.16	10:35:00	112521	112544	112521	112544	34142	350336900	0
2022.11.16	10:36:00	112504	112605	112504	112605	29676	258814900	0
2022.11.16	10:37:00	112558	112558	112534	112534	27438	210036880	0
2022.11.16	10:38:00	112543	112678	112543	112678	40510	419869900	0
2022.11.16	10:39:00	112788	112788	112785	112785	36177	295877100	0
2022.11.16	10:40:00	112870	112877	112870	112877	33892	274090700	0
2022.11.16	10:41:00	112835	112862	112835	112862	31427	258493400	0
2022.11.16	10:42:00	112785	112785	112736	112736	28523	244716700	0
2022.11.16	10:43:00	112656	112702	112656	112702	23946	205201280	0
2022.11.16	10:44:00	112697	112697	112676	112676	23784	190361840	0
2022.11.16	10:45:00	112647	112647	112610	112610	31362	256456500	0
