<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	09:00:00	5360.000	5382.500	5358.000	5371.000	8259	20036	500
2022.11.16	09:01:00	5372.000	5388.500	5364.000	5384.000	11259	25088	500
2022.11.16	09:02:00	5384.500	5385.500	5373.000	5383.000	7918	18076	500
2022.11.16	09:03:00	5383.000	5394.500	5381.000	5387.000	11709	25396	500
2022.11.16	09:04:00	5387.000	5393.000	5380.000	5386.000	8417	21503	500
2022.11.16	09:05:00	5386.000	5394.000	5386.000	5387.500	5392	12267	500
2022.11.16	09:06:00	5388.000	5392.500	5385.000	5387.500	3772	7717	500
2022.11.16	09:07:00	5387.500	5388.500	5382.000	5382.500	4925	10870	500
2022.11.16	09:08:00	5382.500	5383.500	5376.500	5377.000	6140	15779	500
2022.11.16	09:09:00	5377.500	5378.000	5370.000	5374.500	6674	16694	500
2022.11.16	09:10:00	5374.500	5376.500	5373.500	5374.500	2290	5245	500
2022.11.16	09:11:00	5374.500	5386.500	5370.500	5384.000	8197	17839	500
2022.11.16	09:12:00	5384.000	5386.000	5377.500	5378.000	5149	12752	500
2022.11.16	09:13:00	5378.000	5380.000	5373.500	5379.500	3999	10716	500
2022.11.16	09:14:00	5380.000	5380.000	5367.500	5371.000	7258	18869	500
2022.11.16	09:15:00	5371.000	5373.500	5367.500	5373.000	4240	10184	500
2022.11.16	09:16:00	5373.000	5373.500	5365.500	5368.000	4387	11289	500
2022.11.16	09:17:00	5368.500	5368.500	5362.000	5362.500	4096	11231	500
2022.11.16	09:18:00	5362.000	5364.000	5348.500	5349.000	11586	30635	500
2022.11.16	09:19:00	5349.500	5353.000	5348.500	5351.000	4861	13001	500
2022.11.16	09:20:00	5350.500	5357.500	5348.500	5356.500	6374	17825	500
2022.11.16	09:21:00	5356.000	5368.000	5356.000	5363.000	8276	21049	500
2022.11.16	09:22:00	5363.500	5367.000	5361.500	5363.500	3935	14014	500
2022.11.16	09:23:00	5363.000	5372.500	5362.000	5367.500	5368	14638	500
2022.11.16	09:24:00	5367.500	5368.500	5364.000	5365.000	2956	7696	500
2022.11.16	09:25:00	5364.500	5371.000	5362.000	5371.000	5147	11561	500
2022.11.16	09:26:00	5371.000	5379.000	5368.500	5372.500	10384	23857	500
2022.11.16	09:27:00	5372.500	5372.500	5358.500	5359.500	8803	20389	500
2022.11.16	09:28:00	5359.000	5365.500	5359.000	5364.500	4101	10694	500
2022.11.16	09:29:00	5364.500	5373.500	5363.000	5370.000	6061	17112	500
2022.11.16	09:30:00	5370.000	5376.500	5366.500	5367.500	7684	18586	500
2022.11.16	09:31:00	5367.000	5367.500	5355.500	5355.500	8378	20718	500
2022.11.16	09:32:00	5355.500	5360.000	5354.000	5357.000	4213	9501	500
2022.11.16	09:33:00	5357.000	5362.000	5356.000	5358.000	3743	9222	500
2022.11.16	09:34:00	5357.500	5359.500	5353.000	5354.000	4926	11552	500
2022.11.16	09:35:00	5353.500	5364.500	5352.500	5357.500	6642	14927	500
2022.11.16	09:36:00	5357.500	5362.000	5355.500	5359.500	2504	6039	500
2022.11.16	09:37:00	5359.500	5362.500	5355.000	5355.500	2536	5605	500
2022.11.16	09:38:00	5355.500	5358.500	5352.500	5357.000	3679	7555	500
2022.11.16	09:39:00	5356.500	5357.500	5353.500	5354.500	1826	4399	500
2022.11.16	09:40:00	5353.500	5358.000	5352.500	5357.000	2331	5371	500
2022.11.16	09:41:00	5357.000	5361.500	5355.500	5359.500	4073	11195	500
2022.11.16	09:42:00	5359.500	5359.500	5354.500	5356.000	1683	4480	500
2022.11.16	09:43:00	5356.000	5359.000	5353.000	5357.500	3026	8177	500
2022.11.16	09:44:00	5357.000	5357.500	5345.500	5347.000	9818	23964	500
2022.11.16	09:45:00	5347.000	5351.000	5342.500	5351.000	8409	19522	500
2022.11.16	09:46:00	5351.000	5355.000	5348.000	5355.000	5046	12266	500
2022.11.16	09:47:00	5354.500	5356.500	5346.000	5346.500	4741	11572	500
2022.11.16	09:48:00	5347.000	5362.500	5345.500	5357.000	10147	29460	500
2022.11.16	09:49:00	5356.500	5359.000	5353.000	5353.500	2131	4731	500
2022.11.16	09:50:00	5353.500	5356.500	5351.500	5355.500	2483	6369	500
2022.11.16	09:51:00	5355.500	5357.500	5352.500	5353.500	1642	3566	500
